Evobot Gen01 - Sensor Stream, Time Commenced:04-Nov-2014 12:41:14
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
50853,146.607,4.079,-1,536,532,28.8,291.3,50.7,-212.2,299.7,-31.7,-0.1,-2.4,0,0,
51017,194.977,3.986,-1,611,532,0,0,50.7,0,0,0,0,0,100,100,
51052,320.181,4.043,697,493,532,0.8,0.8,50.5,0,0.7,-2.8,0,0,100,100,
51084,276.749,4.042,-1,627,531,2.3,2.3,50.5,0,5.6,-1,-0.1,2.4,100,100,
51095,260.98,4.062,-1,625,529,2.3,2.3,50.5,0,0,0,0,0,100,100,
51125,229.527,4.035,-1,626,511,-4,10.7,50.7,0.3,6.9,-2.1,0.1,4.9,100,100,
51156,227.125,4.07,-1,496,531,7,7,50.6,0.1,6,-1.7,0.1,4.9,100,100,
51191,221.371,4.065,-1,546,533,7,7,50.5,0.3,5.7,-3.7,0.1,4.9,100,100,
51224,217.202,4.069,705,601,511,-6.5,14.5,50.5,0.4,6.8,-4.5,-0.1,4.9,100,100,
51255,228.704,4.054,698,601,511,10.3,10.3,50.4,0.2,6.2,-0.9,0.1,2.4,100,100,
51291,222.34,4.055,-1,612,517,10.1,10.1,50.5,0,6.5,-1.2,0.1,4.9,100,100,
52205,144.1,4.068,691,522,521,-12.8,14.5,50.6,0.6,11.6,-3,0.2,9.8,0,0,
53116,140.659,4.052,-1,611,532,0,0,50.6,0,0,0,0,0,0,0,
53397,194.78,3.989,636,624,530,0,0,50.6,0,0,0,0,0,100,100,
53432,324.103,3.994,-1,588,523,0.4,0.4,50.5,0,2.4,-1.1,0,0,100,100,
53463,264.801,4.028,-1,651,522,3.8,3.8,50.5,0.1,6.3,-0.9,0,0,100,100,
53495,219.854,4.027,-1,515,521,3.9,3.9,50.5,0.2,6.3,-2.7,0.1,2.4,100,100,
53526,218.475,4.057,679,613,522,4.4,4.4,50.4,0.1,6.4,-1.6,0.1,4.9,100,100,
53562,210.113,4.06,694,614,505,4.7,4.7,50.4,0.1,6.5,-2,0.1,4.9,100,100,
53594,213.286,4.064,-1,613,511,-6.4,10.5,50.4,0.1,7.1,-4.1,-0.1,4.9,100,100,
53625,214.356,4.068,-1,601,465,7.5,7.5,50.4,0.2,5.9,-4.2,0.1,2.4,100,100,
53657,209.663,4.04,-1,613,467,8,8,50.4,0.4,5.6,-5.7,0.1,4.9,100,100,
53692,212.081,4.069,683,601,407,7.9,7.9,50.3,0.2,5.5,-5.6,0.1,4.9,100,100,
53724,212.906,4.04,-1,611,408,11.5,11.5,50.4,0.2,7.9,-1.6,-0.1,4.9,100,100,
53756,220.107,4.033,-1,611,404,-16,14.5,50.4,0.1,6.6,-1.2,0.1,4.9,100,100,
53792,219.496,4.06,-1,560,389,10.9,10.9,50.3,0.1,6.5,-1.2,0.1,4.9,100,100,
53823,219.45,4.045,-1,612,360,15.5,15.5,50.3,0.2,7.2,-2.6,-0.1,2.4,100,100,
53855,219.369,4.064,695,492,370,12.9,12.9,50.2,0.1,6.5,-1.2,0.1,2.4,100,100,
