Evobot Gen01 - Sensor Stream, Time Commenced:04-Nov-2014 12:41:11
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
32689,148.967,4.07,643,-1,412,-18.8,-183.4,-24.3,-47.6,-68.5,17.8,1,-14.7,0,0,
32869,208.643,3.995,642,-1,412,0,0,-24.3,0,0,0,0,0,100,100,
32899,366.343,4.029,641,-1,359,5.1,-2.5,-24.3,0,0.7,1.5,0,0,100,100,
32931,313.443,4.044,639,-1,305,-0.4,-0.4,-24,0,5.5,-2.1,0,0,100,100,
32962,256.664,4.072,628,-1,303,-0.1,-0.1,-24.2,0.1,6.9,-1.9,-0.1,2.4,100,100,
32997,247.684,4.07,631,-1,257,16.8,1.5,-24.3,0,6.4,-1.4,0.1,4.9,100,100,
33006,250.286,4.055,627,604,256,16.5,1.2,-24.5,0,0,0,0,0,100,100,
33040,237.327,4.052,611,-1,261,-0.8,-0.8,-24.6,0.2,6.7,-1.4,0.2,7.3,100,100,
33071,241.143,4.041,584,570,345,65.2,-6.6,-24.7,0.1,6.7,-1.9,0.1,2.4,100,100,
33107,244.499,4.047,585,615,417,41.4,-5.9,-24.7,0.2,6.7,-1.6,0.1,4.9,100,100,
33139,242.523,4.034,552,-1,356,-6.3,-6.3,-24.7,0.3,8,-1.9,0.2,4.9,100,100,
34041,158.176,4.065,535,-1,330,-5,-11.6,-24.4,0.5,11,-2.9,-0.1,2.4,0,0,
34942,158.014,4.052,563,-1,333,0,0,-24.4,0,0,0,0,0,0,0,
35643,207.284,4.002,554,-1,319,0,0,-24.4,0,0,0,0,0,100,100,
35678,355.415,4.052,552,-1,331,3.1,-0.7,-24.4,0,2.2,-0.9,-0.1,2.4,100,100,
35710,297.873,4.049,540,-1,382,0.8,0.8,-24.4,0.2,6.6,-2.3,0.1,4.9,100,100,
35742,246.578,4.046,553,-1,391,17.4,4.3,-24.4,0.1,6.9,-2.2,0.1,4.9,100,100,
35773,238.737,4.06,500,617,382,1.8,1.8,-24.5,0.1,6.5,-2.1,-0.1,2.4,100,100,
