Evobot Gen01 - Sensor Stream, Time Commenced:26-Feb-2015 16:13:28
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
55335,163.284,3.989,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
55425,137.411,4.047,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
55515,147.145,4.026,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
55605,163.728,3.995,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
55656,166.123,4.03,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
55687,166.81,4.018,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
55779,163.246,4.02,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
55967,156.803,3.991,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56059,163.039,4.001,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56157,150.578,4.032,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56248,148.846,4.017,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56343,165.172,3.978,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56438,147.173,4.049,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56530,156.17,3.998,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56620,165.713,4.044,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56716,149.591,4.044,-1,-1,607,0,0,-126.4,0,0,0,0,0,0,0,
56808,156.121,4.029,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56900,165.409,4.041,-1,-1,-1,0,0,-126.4,0,0,0,0,0,0,0,
56996,277.472,3.943,-1,-1,-1,0.8,0.4,-126.3,0,0.6,2.1,28,25,60,60,
57091,252.349,4,-1,-1,-1,6.1,6.1,-126.7,0.2,16.4,-1.4,170,160,81,88,
57187,220.48,3.986,-1,-1,-1,12.2,5.2,-126.8,0.4,14.9,-2.4,296,290,44,50,
57287,252.944,3.965,-1,-1,-1,1.6,1.6,-126.9,0.3,9.6,-1.7,383,376,52,56,
57369,253.877,3.961,-1,-1,-1,1.4,1.4,-127.1,0.2,9.1,-1.1,465,458,59,65,
57468,244.444,3.959,-1,-1,-1,2,2,-127.1,0.3,13.2,-2.3,575,570,55,60,
57561,244.082,3.967,-1,-1,-1,1.8,1.8,-127.2,0.2,12.2,-1.9,673,666,54,60,
57661,246.148,4.024,-1,-1,-1,1.9,1.9,-127.3,0.2,12.7,-1.5,775,767,56,63,
57759,247.761,3.932,-1,-1,-1,1.9,1.9,-127.5,0.4,13,-2.3,879,869,55,64,
57858,236.652,4.032,-1,-1,-1,1.9,1.9,-127.7,0.3,12.2,-1.9,983,972,55,65,
57951,253.622,3.997,-1,-1,-1,1.8,1.8,-127.6,0.3,12.4,-1.9,1082,1072,54,63,
58050,244.554,4.015,-1,-1,-1,1.9,1.9,-127.7,0.2,12.8,-2,1185,1176,54,63,
58148,250.347,3.988,-1,-1,-1,1.9,1.9,-127.6,0.3,11.9,-1.8,1285,1279,56,63,
58241,240.437,3.949,-1,-1,-1,1.8,1.8,-127.5,0.4,12.5,-2.2,1383,1380,56,62,
58322,237.973,4.029,-1,-1,-1,1.5,1.5,-127.5,0.2,10.4,-1.8,1468,1466,56,61,
58420,247.442,3.962,-1,-1,-1,1.9,1.9,-127.4,0.4,12,-1.6,1571,1570,56,60,
58512,248.847,4.007,-1,-1,-1,1.8,1.8,-127.5,0.4,12.1,-1.9,1667,1665,56,61,
58609,245.47,4.028,-1,-1,-1,1.9,1.9,-127.6,0.3,11.9,-1.3,1769,1766,56,61,
58702,263.145,4.003,-1,-1,-1,1.8,1.8,-127.9,0.3,11.9,-2.1,1867,1860,56,63,
58800,235.503,4.035,-1,-1,-1,1.9,1.9,-128.2,0.2,12,-2.1,1970,1959,56,64,
58880,239.74,4.012,-1,-1,-1,1.5,1.5,-128.1,0.1,9.7,-1.5,2055,2044,56,66,
58961,239.45,3.925,-1,-1,-1,1.5,1.5,-128.1,0.2,9.8,-1.5,2141,2132,55,65,
59060,252.204,3.977,-1,-1,-1,1.9,1.9,-128.1,0.3,12.7,-2,2246,2240,54,62,
59158,231.165,3.958,-1,-1,-1,1.8,1.8,-128.1,0.3,12.3,-1.9,2350,2343,54,62,
59253,250.038,4.018,-1,-1,-1,1.9,1.9,-128.1,0.4,13.9,-2.2,2447,2444,55,61,
59351,248.46,3.978,-1,-1,-1,1.9,1.9,-128,0.3,13,-1.8,2550,2549,55,60,
