Evobot Gen01 - Sensor Stream, Time Commenced:01-Mar-2015 12:52:21
time,current,Voltage,IR_L,IR_C,IR_R,IMU_disp_X,IMU_disp_Y,Yaw,Opt_flow_X,Opt_flow_Y,Opt_flow_YAW,Encoder_X,Encoder_Y,Motor_L,Motor_R,
143402,158.554,4.197,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
143564,157.788,4.199,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
143575,158.246,4.203,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
143662,157.2,4.204,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
143754,157.802,4.2,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
143849,157.088,4.2,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
143942,156.246,4.198,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
144033,156.489,4.199,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
144126,158.298,4.196,-1,-1,-1,0,0,177.4,0,0,0,0,0,0,0,
144224,333.034,4.142,-1,-1,-1,1.4,1.5,177.4,0.1,1.5,-5.5,54,57,98,97,
144324,222.931,4.171,-1,-1,-1,10.9,15.1,178.2,-1,16.8,7.8,205,217,72,62,
144423,228.89,4.195,-1,-1,-1,12.2,13,177.9,-0.3,11,4.1,317,326,56,47,
144517,253.532,4.194,-1,-1,-1,9.5,9.5,177.8,-0.3,8.9,4.3,401,412,68,58,
144614,248.963,4.195,-1,-1,-1,9.7,11.1,177.5,-0.2,10.7,3.3,503,512,70,60,
144707,239.308,4.197,-1,-1,-1,10.6,10.6,177.3,-0.2,10.6,2.9,606,613,66,57,
144803,238.472,4.192,-1,-1,-1,11.2,11.2,177.2,-0.1,10.2,2.7,709,716,64,56,
144896,237.316,4.192,-1,-1,-1,9.7,11.2,177.1,-0.2,10.2,2.9,805,814,66,56,
144993,234.45,4.194,-1,-1,-1,11.9,11.9,177,-0.1,10.3,2.9,907,918,66,56,
145086,231.909,4.198,-1,-1,-1,11.4,11.4,177,-0.3,10.5,3.3,1006,1018,65,54,
145183,233.949,4.192,-1,-1,-1,11.9,11.9,176.9,-0.2,10,2.7,1107,1119,65,54,
145276,236.719,4.196,-1,-1,-1,11.4,11.4,176.8,-0.1,10.1,2.7,1203,1214,66,55,
145374,237.259,4.191,-1,-1,-1,12.2,12.2,176.6,-0.2,10.7,2.9,1306,1314,67,58,
145471,237.395,4.119,-1,-1,-1,11,11,176.4,-0.1,10.2,2.7,1408,1416,67,58,
145566,241.853,4.191,-1,-1,-1,12,12,176.2,-0.2,11.4,3.5,1506,1513,67,59,
145646,237.952,4.193,-1,-1,-1,9.4,9.4,176.3,-0.1,8.8,2.5,1590,1598,68,60,
145746,234.066,4.183,-1,-1,-1,12,12,176.2,-0.3,11.2,3.3,1695,1705,68,59,
